Unnamed: 0_level_0_Unnamed: 0_level_1,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,交易口數與契約金額_多方,交易口數與契約金額_多方,交易口數與契約金額_空方,交易口數與契約金額_空方,交易口數與契約金額_多空淨額,交易口數與契約金額_多空淨額,未平倉餘額_多方,未平倉餘額_多方,未平倉餘額_空方,未平倉餘額_空方,未平倉餘額_多空淨額,未平倉餘額_多空淨額
1,臺股期貨,自營商,6391,59718624,6420,59993729,-29,-275105,6981,65510088,4507,42336826,2474,23173262
1,臺股期貨,投信,1630,15277478,91,852449,1539,14425029,56541,529868336,5237,49078022,51304,480790314
1,臺股期貨,外資,52717,491986093,52540,490327675,177,1658418,15473,145006636,82245,770823207,-66772,-625816571
2,電子期貨,自營商,48,584642,37,449896,11,134746,26,317786,140,1711002,-114,-1393216
2,電子期貨,投信,3,36699,0,0,3,36699,164,2004211,0,0,164,2004211
2,電子期貨,外資,81,989536,82,1000856,-1,-11320,55,672144,238,2908550,-183,-2236406
3,金融期貨,自營商,40,114833,66,188927,-26,-74093,50,145368,143,416024,-93,-270656
3,金融期貨,投信,0,0,0,0,0,0,12,34920,0,0,12,34920
3,金融期貨,外資,193,552086,163,467274,30,84812,181,526710,169,491790,12,34920
4,小型臺指期貨,自營商,10921,25499760,10483,24466912,438,1032848,2414,5686300,13027,30602514,-10613,-24916214
4,小型臺指期貨,投信,3,7030,0,0,3,7030,90,210857,76,178057,14,32800
4,小型臺指期貨,外資,119299,278222834,116589,271889723,2710,6333111,2827,6623469,3254,7628756,-427,-1005287
5,微型臺指期貨,自營商,24351,11375328,14359,6708222,9992,4667106,3793,1793890,24932,11717389,-21139,-9923499
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,133141,62071466,129437,60347098,3704,1724368,9727,4557961,210,98400,9517,4459561
6,小型電子期貨,自營商,82,125317,106,161484,-24,-36167,98,149724,179,273466,-81,-123742
6,小型電子期貨,投信,1,1531,0,0,1,1531,64,97766,0,0,64,97766
6,小型電子期貨,外資,662,1009952,648,988961,14,20991,32,48883,6,9166,26,39717
7,小型金融期貨,自營商,35,25030,29,20724,6,4307,27,19643,26,18908,1,735
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,102,72822,103,73896,-1,-1073,0,0,2,1455,-2,-1455
8,股票期貨,自營商,47031,20812748,51463,20242799,-4432,569949,65476,21171228,389158,278754518,-323682,-257583290
8,股票期貨,投信,0,0,2982,993701,-2982,-993701,37853,19205066,260,50524,37593,19154542
8,股票期貨,外資,449536,219989526,445944,219099869,3592,889657,154597,148095012,747917,483316122,-593320,-335221110
9,ETF期貨,自營商,4875,2602588,3798,2105232,1077,497356,12942,3718952,34587,23075950,-21645,-19356998
9,ETF期貨,投信,0,0,0,0,0,0,4306,3704074,50,20675,4256,3683399
9,ETF期貨,外資,4970,4001774,4525,3895257,445,106517,18218,15538365,3402,2222029,14816,13316336
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,13,19709,15,22664,-2,-2956,104,157201,60,90602,44,66599
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,24,36251,16,24191,8,12060,5,7568,22,33299,-17,-25731
12,富櫃200期貨,自營商,8,8443,0,0,8,8443,15,15821,23,24259,-8,-8438
12,富櫃200期貨,投信,0,0,5,5280,-5,-5280,24,25314,0,0,24,25314
12,富櫃200期貨,外資,0,0,0,0,0,0,3,3164,0,0,3,3164
13,臺灣中型100期貨,自營商,494,184816,450,168309,44,16506,785,295042,248,93201,537,201841
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,351,920613,351,920613,0,0,81,212838,81,212838,0,0
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,自營商,0,0,1,180,-1,-180,0,0,11,1983,-11,-1983
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,84,70143,94,78606,-10,-8463,8,6646,86,71760,-78,-65114
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,32,26616,32,26607,0,9,0,0,0,0,0,0
17,航運期貨,自營商,0,0,0,0,0,0,11,2103,11,2103,0,0
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,自營商,47,37087,87,69150,-40,-32063,22,17611,141,112786,-119,-95175
18,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,外資,81,64323,38,29858,43,34465,21,16796,32,25618,-11,-8822
19,美國標普500期貨,自營商,0,0,0,0,0,0,10,15215,62,94330,-52,-79115
19,美國標普500期貨,投信,0,0,0,0,0,0,1,1521,0,0,1,1521
19,美國標普500期貨,外資,0,0,0,0,0,0,2,3043,43,65685,-41,-62642
20,美國那斯達克100期貨,自營商,0,0,0,0,0,0,1,1537,96,147514,-95,-145977
20,美國那斯達克100期貨,投信,0,0,0,0,0,0,1,1537,0,0,1,1537
20,美國那斯達克100期貨,外資,636,973278,574,878296,62,94982,139,214273,488,751410,-349,-537137
21,美國道瓊期貨,自營商,0,0,0,0,0,0,0,0,18,18489,-18,-18489
21,美國道瓊期貨,投信,0,0,0,0,0,0,1,1027,0,0,1,1027
21,美國道瓊期貨,外資,67,68714,48,49037,19,19677,128,131674,142,146184,-14,-14510
22,美國費城半導體期貨,自營商,23,24945,17,18449,6,6496,0,0,407,451947,-407,-451947
22,美國費城半導體期貨,投信,0,0,0,0,0,0,8,8880,0,0,8,8880
22,美國費城半導體期貨,外資,178,191243,145,156075,33,35168,230,255628,396,439625,-166,-183997
23,英國富時100期貨,自營商,125,64996,100,51996,25,13000,169,87842,85,44294,84,43548
23,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
23,英國富時100期貨,外資,89,46235,114,59226,-25,-12991,41,21365,40,20780,1,585
期貨 小計,期貨 小計,自營商,94919,122189622,87876,115667892,7043,6521730,93013,99324835,468028,390272703,-375015,-290947868
期貨 小計,期貨 小計,投信,1637,15322738,3078,1851430,-1441,13471308,99065,555163509,5623,49327278,93442,505836231
期貨 小計,期貨 小計,外資,761808,1060302749,750998,1049313899,10810,10988851,201679,321722691,838606,1268982076,-636927,-947259385
期貨合計,期貨合計,期貨合計,858364,1197815109,841952,1166833221,16412,30981889,393757,976211035,1312257,1708582057,-918500,-732371022
